sleep_hours,work_hours,exercise_minutes,screen_time,caffeine_intake,breaks_taken,steps,water_intake,mood,stress_level,sleep_quality,productivity_score
6.0,9,15,6,3,2,4700,1.5,neutral,medium,fair,56
7.0,8,27,4,2,4,7700,2.5,happy,low,good,73
5.5,11,4,8,4,1,2700,0.8,sad,high,poor,38
8.5,6,64,2,0,7,13100,3.5,happy,low,excellent,95
6.5,9,20,5,2,3,5400,2.0,neutral,medium,fair,59
7.5,7,37,3,1,5,9500,2.5,happy,low,good,81
5.0,10,1,7,4,1,2300,1.0,sad,high,poor,37
8.0,7,49,3,1,6,11000,3.0,happy,low,excellent,89
6.0,8,24,5,2,3,5600,2.0,neutral,medium,fair,62
7.0,8,33,4,2,4,8300,2.5,happy,low,good,78
4.5,12,0,9,5,0,1600,0.5,sad,high,poor,30
9.0,5,71,1,0,8,14800,4.0,happy,low,excellent,100
6.5,9,16,6,2,3,4300,1.5,neutral,medium,fair,52
7.5,8,43,4,1,5,9800,2.5,happy,low,good,86
5.5,10,6,7,4,1,3100,1.0,sad,high,poor,40
8.0,7,51,3,1,6,10600,3.0,happy,low,excellent,87
6.0,9,22,6,3,3,5200,1.5,neutral,medium,fair,58
7.0,8,30,4,2,4,8000,2.5,happy,low,good,75
5.0,10,0,8,4,1,2000,1.0,sad,high,poor,35
8.5,6,61,2,0,7,12400,3.5,happy,low,excellent,92
6.5,9,19,5,2,3,5100,2.0,neutral,medium,fair,57
7.5,7,40,4,1,5,9200,2.5,happy,low,good,83
